id,时代,星级,卡名,副本,基础估值,红卡,印刷数量
春秋战国-1-1,春秋战国,1,布币,1,10,否,1
春秋战国-1-2,春秋战国,1,布币,2,10,否,1
春秋战国-1-3,春秋战国,1,布币,3,10,否,1
春秋战国-2-1,春秋战国,2,莲鹤方壶,1,20,否,1
春秋战国-2-2,春秋战国,2,莲鹤方壶,2,20,否,1
春秋战国-2-3,春秋战国,2,莲鹤方壶,3,20,否,1
春秋战国-3-1,春秋战国,3,曾侯乙编钟,1,30,否,1
春秋战国-3-2,春秋战国,3,曾侯乙编钟,2,30,否,1
春秋战国-4-1,春秋战国,4,越王勾践剑,1,40,是,1
秦-1-1,秦,1,半两钱,1,10,否,1
秦-1-2,秦,1,半两钱,2,10,否,1
秦-1-3,秦,1,半两钱,3,10,否,1
秦-2-1,秦,2,秦陵铜车马,1,20,否,1
秦-2-2,秦,2,秦陵铜车马,2,20,否,1
秦-2-3,秦,2,秦陵铜车马,3,20,否,1
秦-3-1,秦,3,秦俑将军俑,1,30,否,1
秦-3-2,秦,3,秦俑将军俑,2,30,否,1
秦-4-1,秦,4,传国玉玺,1,40,是,1
汉-1-1,汉,1,五铢钱,1,10,否,1
汉-1-2,汉,1,五铢钱,2,10,否,1
汉-1-3,汉,1,五铢钱,3,10,否,1
汉-2-1,汉,2,长信宫灯,1,20,否,1
汉-2-2,汉,2,长信宫灯,2,20,否,1
汉-2-3,汉,2,长信宫灯,3,20,否,1
汉-3-1,汉,3,马王堆帛画,1,30,否,1
汉-3-2,汉,3,马王堆帛画,2,30,否,1
汉-4-1,汉,4,金缕玉衣,1,40,是,1
三国-1-1,三国,1,太平道符,1,10,否,1
三国-1-2,三国,1,太平道符,2,10,否,1
三国-1-3,三国,1,太平道符,3,10,否,1
三国-2-1,三国,2,铜雀台瓦砚,1,20,否,1
三国-2-2,三国,2,铜雀台瓦砚,2,20,否,1
三国-2-3,三国,2,铜雀台瓦砚,3,20,否,1
三国-3-1,三国,3,青釭剑,1,30,否,1
三国-3-2,三国,3,青釭剑,2,30,否,1
三国-4-1,三国,4,的卢马,1,40,是,1
唐-1-1,唐,1,开元通宝,1,10,否,1
唐-1-2,唐,1,开元通宝,2,10,否,1
唐-1-3,唐,1,开元通宝,3,10,否,1
唐-2-1,唐,2,唐三彩骆驼,1,20,否,1
唐-2-2,唐,2,唐三彩骆驼,2,20,否,1
唐-2-3,唐,2,唐三彩骆驼,3,20,否,1
唐-3-1,唐,3,簪花仕女图,1,30,否,1
唐-3-2,唐,3,簪花仕女图,2,30,否,1
唐-4-1,唐,4,兰亭序真迹,1,40,是,1
宋-1-1,宋,1,交子,1,10,否,1
宋-1-2,宋,1,交子,2,10,否,1
宋-1-3,宋,1,交子,3,10,否,1
宋-2-1,宋,2,汝窑天青釉洗,1,20,否,1
宋-2-2,宋,2,汝窑天青釉洗,2,20,否,1
宋-2-3,宋,2,汝窑天青釉洗,3,20,否,1
宋-3-1,宋,3,清明上河图,1,30,否,1
宋-3-2,宋,3,清明上河图,2,30,否,1
宋-4-1,宋,4,苏轼寒食帖,1,40,是,1
元-1-1,元,1,中统元宝交钞,1,10,否,1
元-1-2,元,1,中统元宝交钞,2,10,否,1
元-1-3,元,1,中统元宝交钞,3,10,否,1
元-2-1,元,2,青花鬼谷子下山罐,1,20,否,1
元-2-2,元,2,青花鬼谷子下山罐,2,20,否,1
元-2-3,元,2,青花鬼谷子下山罐,3,20,否,1
元-3-1,元,3,元青花萧何追韩信梅瓶,1,30,否,1
元-3-2,元,3,元青花萧何追韩信梅瓶,2,30,否,1
元-4-1,元,4,富春山居图,1,40,是,1
明-1-1,明,1,大明宝钞,1,10,否,1
明-1-2,明,1,大明宝钞,2,10,否,1
明-1-3,明,1,大明宝钞,3,10,否,1
明-2-1,明,2,成化斗彩鸡缸杯,1,20,否,1
明-2-2,明,2,成化斗彩鸡缸杯,2,20,否,1
明-2-3,明,2,成化斗彩鸡缸杯,3,20,否,1
明-3-1,明,3,永乐大典,1,30,否,1
明-3-2,明,3,永乐大典,2,30,否,1
明-4-1,明,4,万历金翼善冠,1,40,是,1
民国-1-1,民国,1,袁大头,1,10,否,1
民国-1-2,民国,1,袁大头,2,10,否,1
民国-1-3,民国,1,袁大头,3,10,否,1
民国-2-1,民国,2,中山装,1,20,否,1
民国-2-2,民国,2,中山装,2,20,否,1
民国-2-3,民国,2,中山装,3,20,否,1
民国-3-1,民国,3,张大千泼墨山水,1,30,否,1
民国-3-2,民国,3,张大千泼墨山水,2,30,否,1
民国-4-1,民国,4,翠玉白菜,1,40,是,1
