id,web_image,art_image
@version,v1.1.0,
@back,千年藏珍_81张实体卡素材/统一卡背.png,
@overview,81张正面总览.jpg,
春秋战国-1-1,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-1-1.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-1-1_布币.png
春秋战国-1-2,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-1-2.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-1-2_布币.png
春秋战国-1-3,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-1-3.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-1-3_布币.png
春秋战国-2-1,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-2-1.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-2-1_莲鹤方壶.png
春秋战国-2-2,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-2-2.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-2-2_莲鹤方壶.png
春秋战国-2-3,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-2-3.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-2-3_莲鹤方壶.png
春秋战国-3-1,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-3-1.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-3-1_曾侯乙编钟.png
春秋战国-3-2,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-3-2.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-3-2_曾侯乙编钟.png
春秋战国-4-1,千年藏珍_81张实体卡素材/正面_PNG_含出血/春秋战国-4-1.png,千年藏珍_81张独立插画层/独立插画层/春秋战国-4-1_越王勾践剑.png
秦-1-1,千年藏珍_81张实体卡素材/正面_PNG_含出血/秦-1-1.png,千年藏珍_81张独立插画层/独立插画层/秦-1-1_半两钱.png
秦-1-2,千年藏珍_81张实体卡素材/正面_PNG_含出血/秦-1-2.png,千年藏珍_81张独立插画层/独立插画层/秦-1-2_半两钱.png
秦-1-3,千年藏珍_81张实体卡素材/正面_PNG_含出血/秦-1-3.png,千年藏珍_81张独立插画层/独立插画层/秦-1-3_半两钱.png
秦-2-1,千年藏珍_81张实体卡素材/正面_PNG_含出血/秦-2-1.png,千年藏珍_81张独立插画层/独立插画层/秦-2-1_秦陵铜车马.png
秦-2-2,千年藏珍_81张实体卡素材/正面_PNG_含出血/秦-2-2.png,千年藏珍_81张独立插画层/独立插画层/秦-2-2_秦陵铜车马.png
秦-2-3,千年藏珍_81张实体卡素材/正面_PNG_含出血/秦-2-3.png,千年藏珍_81张独立插画层/独立插画层/秦-2-3_秦陵铜车马.png
秦-3-1,千年藏珍_81张实体卡素材/正面_PNG_含出血/秦-3-1.png,千年藏珍_81张独立插画层/独立插画层/秦-3-1_秦俑将军俑.png
